Timestamp,Sensor_A,Sensor_B,Correlation
5/21/2021 11:18,Overspeed Press,Tank Level,-0.006268521
5/21/2021 11:18,Filter DP,Tank Level,-0.05077839
5/21/2021 11:18,Filter DP,Tank Temp,-0.264114434
5/21/2021 11:18,Filter DP,Vapor Press,-0.193705431
5/21/2021 11:18,Filter DP,Overspeed Press,0.076962978
5/21/2021 11:18,Overspeed Press,Tank Temp,-0.018093886
5/21/2021 11:18,Filter DP,Line Pressure,-0.023442194
5/21/2021 11:18,Tank Level,Tank Temp,0.022419382
5/21/2021 11:18,Tank Level,Vapor Press,-0.037217306
5/21/2021 11:18,Tank Temp,Vapor Press,0.077813867
5/23/2021 23:08,Line Pressure,Main Pump Press,-0.045618861
5/23/2021 23:08,Line Pressure,Overspeed Press,-0.00433039
5/23/2021 23:08,Line Pressure,Vapor Press,-0.091359873
5/23/2021 23:08,Line Pressure,Tank Temp,0.02762283
5/23/2021 23:08,Line Pressure,Tank Level,0.002121976
5/23/2021 23:08,Main Pump Press,Overspeed Press,-0.034288742
5/23/2021 23:08,Main Pump Press,Vapor Press,0.232431764
5/23/2021 23:08,Main Pump Press,Tank Level,-0.081785554
5/23/2021 23:08,Overspeed Press,Vapor Press,-0.003097904
5/23/2021 23:08,Main Pump Press,Tank Temp,-0.027146308
5/23/2021 23:08,Filter DP,Tank Level,-0.034163517
5/23/2021 23:08,Overspeed Press,Tank Level,-0.005636272
5/23/2021 23:08,Filter DP,Tank Temp,-0.315040836
5/23/2021 23:08,Filter DP,Vapor Press,-0.104295403
5/23/2021 23:08,Filter DP,Overspeed Press,0.079719514
5/23/2021 23:08,Filter DP,Main Pump Press,-0.048531065
5/23/2021 23:08,Overspeed Press,Tank Temp,-0.024108905
5/23/2021 23:08,Tank Level,Tank Temp,0.01172051
5/23/2021 23:08,Tank Level,Vapor Press,0.028420104
5/23/2021 23:08,Tank Temp,Vapor Press,0.030695504
5/23/2021 23:08,Filter DP,Line Pressure,-0.014155365
5/26/2021 11:43,Line Pressure,Main Pump Press,-0.044859121
5/26/2021 11:43,Line Pressure,Overspeed Press,0.002943758
5/26/2021 11:43,Line Pressure,Vapor Press,-0.098426213
5/26/2021 11:43,Line Pressure,Tank Temp,0.026657955
5/26/2021 11:43,Line Pressure,Tank Level,0.002994741
5/26/2021 11:43,Main Pump Press,Overspeed Press,0.021293313
5/26/2021 11:43,Main Pump Press,Vapor Press,0.229670969
5/26/2021 11:43,Main Pump Press,Tank Temp,-0.028164352
5/26/2021 11:43,Main Pump Press,Tank Level,-0.080736273
5/26/2021 11:43,Overspeed Press,Vapor Press,-0.049089598
5/26/2021 11:43,Overspeed Press,Tank Temp,-0.061461899
5/26/2021 11:43,Tank Temp,Vapor Press,0.043825546
5/26/2021 11:43,Filter DP,Tank Level,-0.031815857
5/26/2021 11:43,Filter DP,Tank Temp,-0.309656739
5/26/2021 11:43,Filter DP,Vapor Press,-0.115059226
5/26/2021 11:43,Filter DP,Overspeed Press,0.164251735
5/26/2021 11:43,Overspeed Press,Tank Level,-0.002578925
5/26/2021 11:43,Filter DP,Line Pressure,-0.00842026
5/26/2021 11:43,Tank Level,Tank Temp,0.01081179
5/26/2021 11:43,Tank Level,Vapor Press,0.035458431
5/26/2021 11:43,Filter DP,Main Pump Press,-0.049469077
5/28/2021 23:25,Overspeed Press,Vapor Press,-0.078233953
5/28/2021 23:25,Line Pressure,Overspeed Press,0.007179242
5/28/2021 23:25,Line Pressure,Vapor Press,-0.100228843
5/28/2021 23:25,Line Pressure,Tank Temp,0.026227818
5/28/2021 23:25,Line Pressure,Tank Level,0.003851078
5/28/2021 23:25,Main Pump Press,Overspeed Press,0.021741086
5/28/2021 23:25,Main Pump Press,Vapor Press,0.215445205
5/28/2021 23:25,Main Pump Press,Tank Temp,-0.025043209
5/28/2021 23:25,Main Pump Press,Tank Level,-0.085129401
5/28/2021 23:25,Line Pressure,Main Pump Press,-0.044651129
5/28/2021 23:25,Overspeed Press,Tank Temp,-0.046867045
5/28/2021 23:25,Tank Temp,Vapor Press,0.050176008
5/28/2021 23:25,Tank Level,Vapor Press,0.034628728
5/28/2021 23:25,Tank Level,Tank Temp,0.010132157
5/28/2021 23:25,Filter DP,Line Pressure,-0.006977749
5/28/2021 23:25,Filter DP,Main Pump Press,-0.003443146
5/28/2021 23:25,Filter DP,Overspeed Press,0.179919929
5/28/2021 23:25,Filter DP,Vapor Press,-0.126369597
5/28/2021 23:25,Filter DP,Tank Temp,-0.350735404
5/28/2021 23:25,Filter DP,Tank Level,-0.029410012
5/28/2021 23:25,Overspeed Press,Tank Level,-0.002778463
5/31/2021 11:42,Main Pump Press,Tank Temp,-0.027046075
5/31/2021 11:42,Main Pump Press,Vapor Press,0.228621255
5/31/2021 11:42,Main Pump Press,Overspeed Press,0.03879389
5/31/2021 11:42,Line Pressure,Tank Level,0.004355213
5/31/2021 11:42,Main Pump Press,Tank Level,-0.092691496
5/31/2021 11:42,Line Pressure,Vapor Press,-0.097315736
5/31/2021 11:42,Line Pressure,Overspeed Press,0.013418599
5/31/2021 11:42,Line Pressure,Main Pump Press,-0.040849581
5/31/2021 11:42,Line Pressure,Tank Temp,0.024490674
5/31/2021 11:42,Overspeed Press,Vapor Press,-0.001378782
5/31/2021 11:42,Filter DP,Main Pump Press,-0.034239287
5/31/2021 11:42,Overspeed Press,Tank Level,-0.009685104
5/31/2021 11:42,Filter DP,Tank Level,-0.029410711
5/31/2021 11:42,Filter DP,Tank Temp,-0.367935372
5/31/2021 11:42,Filter DP,Vapor Press,-0.113234786
5/31/2021 11:42,Filter DP,Overspeed Press,0.239302675
5/31/2021 11:42,Overspeed Press,Tank Temp,-0.078293159
5/31/2021 11:42,Filter DP,Line Pressure,0.000499792
5/31/2021 11:42,Tank Level,Tank Temp,0.009700596
5/31/2021 11:42,Tank Level,Vapor Press,0.029347086
5/31/2021 11:42,Tank Temp,Vapor Press,0.054269485
6/2/2021 23:23,Line Pressure,Main Pump Press,-0.037744709
6/2/2021 23:23,Line Pressure,Overspeed Press,0.016010846
6/2/2021 23:23,Line Pressure,Vapor Press,-0.097335745
6/2/2021 23:23,Line Pressure,Tank Temp,0.021108619
6/2/2021 23:23,Line Pressure,Tank Level,0.004949392
6/2/2021 23:23,Main Pump Press,Overspeed Press,0.050074327
6/2/2021 23:23,Main Pump Press,Vapor Press,0.199305397
6/2/2021 23:23,Main Pump Press,Tank Temp,-0.043043585
6/2/2021 23:23,Overspeed Press,Vapor Press,0.036738396
6/2/2021 23:23,Overspeed Press,Tank Temp,-0.107484158
6/2/2021 23:23,Main Pump Press,Tank Level,-0.100780078
6/2/2021 23:23,Tank Temp,Vapor Press,0.057472876
6/2/2021 23:23,Overspeed Press,Tank Level,-0.016530501
6/2/2021 23:23,Filter DP,Tank Temp,-0.394003129
6/2/2021 23:23,Filter DP,Vapor Press,-0.135245407
6/2/2021 23:23,Filter DP,Overspeed Press,0.269733491
6/2/2021 23:23,Filter DP,Tank Level,-0.036969639
6/2/2021 23:23,Filter DP,Line Pressure,0.009186626
6/2/2021 23:23,Tank Level,Tank Temp,0.010739861
6/2/2021 23:23,Tank Level,Vapor Press,0.02517385
6/2/2021 23:23,Filter DP,Main Pump Press,-0.047684329
6/5/2021 11:45,Main Pump Press,Tank Level,-0.101748644
6/5/2021 11:45,Line Pressure,Main Pump Press,-0.037688293
6/5/2021 11:45,Line Pressure,Overspeed Press,-0.004164826
6/5/2021 11:45,Line Pressure,Vapor Press,-0.101570221
6/5/2021 11:45,Line Pressure,Tank Temp,0.017942545
6/5/2021 11:45,Line Pressure,Tank Level,0.00533299
6/5/2021 11:45,Main Pump Press,Overspeed Press,0.100163782
6/5/2021 11:45,Main Pump Press,Vapor Press,0.187569912
6/5/2021 11:45,Overspeed Press,Vapor Press,0.03433479
6/5/2021 11:45,Main Pump Press,Tank Temp,-0.031683942
6/5/2021 11:45,Overspeed Press,Tank Temp,0.087343573
6/5/2021 11:45,Filter DP,Tank Temp,-0.410772363
6/5/2021 11:45,Filter DP,Vapor Press,-0.125223355
6/5/2021 11:45,Filter DP,Overspeed Press,-0.019266913
6/5/2021 11:45,Filter DP,Main Pump Press,-0.023443607
6/5/2021 11:45,Filter DP,Tank Level,-0.04793384
6/5/2021 11:45,Tank Level,Tank Temp,0.013734035
6/5/2021 11:45,Tank Level,Vapor Press,0.028515243
6/5/2021 11:45,Tank Temp,Vapor Press,0.058740998
6/5/2021 11:45,Filter DP,Line Pressure,0.019105498
6/5/2021 11:45,Overspeed Press,Tank Level,0.001211146
6/7/2021 23:27,Line Pressure,Main Pump Press,-0.038080391
6/7/2021 23:27,Overspeed Press,Vapor Press,0.032375583
6/7/2021 23:27,Line Pressure,Overspeed Press,-0.004456216
6/7/2021 23:27,Line Pressure,Vapor Press,-0.077865938
6/7/2021 23:27,Line Pressure,Tank Temp,0.061900841
6/7/2021 23:27,Line Pressure,Tank Level,0.002630963
6/7/2021 23:27,Main Pump Press,Overspeed Press,0.089684691
6/7/2021 23:27,Main Pump Press,Vapor Press,0.166060169
6/7/2021 23:27,Main Pump Press,Tank Temp,-0.066500514
6/7/2021 23:27,Main Pump Press,Tank Level,-0.091122637
6/7/2021 23:27,Overspeed Press,Tank Level,0.001836566
6/7/2021 23:27,Tank Temp,Vapor Press,-0.013725405
6/7/2021 23:27,Tank Level,Vapor Press,0.032637694
6/7/2021 23:27,Tank Level,Tank Temp,0.025389157
6/7/2021 23:27,Filter DP,Line Pressure,-0.038553026
6/7/2021 23:27,Filter DP,Main Pump Press,-0.037710073
6/7/2021 23:27,Filter DP,Overspeed Press,-0.008207109
6/7/2021 23:27,Filter DP,Vapor Press,-0.145315502
6/7/2021 23:27,Filter DP,Tank Temp,-0.504310278
6/7/2021 23:27,Filter DP,Tank Level,-0.052460943
6/7/2021 23:27,Overspeed Press,Tank Temp,0.100646726
6/9/2021 20:46,Main Pump Press,Tank Level,-0.091893955
6/9/2021 20:46,Main Pump Press,Tank Temp,-0.083020123
6/9/2021 20:46,Main Pump Press,Vapor Press,0.156729375
6/9/2021 20:46,Main Pump Press,Overspeed Press,0.096319752
6/9/2021 20:46,Line Pressure,Main Pump Press,-0.037059454
6/9/2021 20:46,Line Pressure,Tank Temp,0.058585289
6/9/2021 20:46,Line Pressure,Vapor Press,-0.077332715
6/9/2021 20:46,Line Pressure,Overspeed Press,-0.004385909
6/9/2021 20:46,Line Pressure,Tank Level,0.003499742
6/9/2021 20:46,Overspeed Press,Vapor Press,0.033146249
6/9/2021 20:46,Overspeed Press,Tank Temp,0.09728624
6/9/2021 20:46,Tank Temp,Vapor Press,-0.031426373
6/9/2021 20:46,Filter DP,Tank Level,-0.058055944
6/9/2021 20:46,Filter DP,Tank Temp,-0.497461868
6/9/2021 20:46,Filter DP,Vapor Press,-0.14990634
6/9/2021 20:46,Filter DP,Overspeed Press,-0.003146773
6/9/2021 20:46,Overspeed Press,Tank Level,0.002552681
6/9/2021 20:46,Filter DP,Line Pressure,-0.030910203
6/9/2021 20:46,Tank Level,Tank Temp,0.026443033
6/9/2021 20:46,Tank Level,Vapor Press,0.041336426
6/9/2021 20:46,Filter DP,Main Pump Press,-0.012499045
6/12/2021 12:01,Line Pressure,Main Pump Press,-0.002936747
6/12/2021 12:01,Line Pressure,Overspeed Press,-0.004319556
6/12/2021 12:01,Line Pressure,Vapor Press,-0.080916613
6/12/2021 12:01,Line Pressure,Tank Temp,0.055395658
6/12/2021 12:01,Line Pressure,Tank Level,0.004705453
6/12/2021 12:01,Main Pump Press,Overspeed Press,0.02382439
6/12/2021 12:01,Main Pump Press,Vapor Press,-0.000321818
6/12/2021 12:01,Main Pump Press,Tank Level,-0.021816532
6/12/2021 12:01,Overspeed Press,Vapor Press,0.031551076
6/12/2021 12:01,Main Pump Press,Tank Temp,-0.032565815
6/12/2021 12:01,Overspeed Press,Tank Temp,0.094746289
6/12/2021 12:01,Tank Temp,Vapor Press,-0.027203987
6/12/2021 12:01,Tank Level,Vapor Press,0.039281109
6/12/2021 12:01,Tank Level,Tank Temp,0.036716478
6/12/2021 12:01,Filter DP,Line Pressure,-0.021938376
6/12/2021 12:01,Filter DP,Main Pump Press,0.052787699
6/12/2021 12:01,Filter DP,Overspeed Press,0.003900141
6/12/2021 12:01,Filter DP,Vapor Press,-0.181000895
6/12/2021 12:01,Filter DP,Tank Temp,-0.498780779
6/12/2021 12:01,Filter DP,Tank Level,-0.083861324
6/12/2021 12:01,Overspeed Press,Tank Level,0.003376483
6/14/2021 23:17,Main Pump Press,Tank Level,-0.021765072
6/14/2021 23:17,Main Pump Press,Tank Temp,-0.027540827
6/14/2021 23:17,Main Pump Press,Vapor Press,0.001481115
6/14/2021 23:17,Main Pump Press,Overspeed Press,0.023512354
6/14/2021 23:17,Overspeed Press,Vapor Press,0.029966871
6/14/2021 23:17,Line Pressure,Tank Temp,0.073082623
6/14/2021 23:17,Line Pressure,Vapor Press,-0.059515128
6/14/2021 23:17,Line Pressure,Overspeed Press,-0.002969165
6/14/2021 23:17,Line Pressure,Tank Level,0.003715902
6/14/2021 23:17,Line Pressure,Main Pump Press,-0.002448985
6/14/2021 23:17,Overspeed Press,Tank Temp,0.090049715
6/14/2021 23:17,Tank Temp,Vapor Press,-0.031014387
6/14/2021 23:17,Filter DP,Tank Level,-0.095084238
6/14/2021 23:17,Filter DP,Tank Temp,-0.503789872
6/14/2021 23:17,Filter DP,Vapor Press,-0.215973925
6/14/2021 23:17,Filter DP,Overspeed Press,0.011190936
6/14/2021 23:17,Overspeed Press,Tank Level,0.003900139
6/14/2021 23:17,Filter DP,Line Pressure,-0.043875619
6/14/2021 23:17,Tank Level,Tank Temp,0.038845271
6/14/2021 23:17,Tank Level,Vapor Press,0.041150152
6/14/2021 23:17,Filter DP,Main Pump Press,0.042738052
6/17/2021 11:22,Overspeed Press,Vapor Press,0.027024466
6/17/2021 11:22,Line Pressure,Overspeed Press,-0.002944332
6/17/2021 11:22,Line Pressure,Vapor Press,-0.064170412
6/17/2021 11:22,Line Pressure,Tank Temp,0.070525474
6/17/2021 11:22,Line Pressure,Tank Level,0.009511736
6/17/2021 11:22,Main Pump Press,Overspeed Press,0.023445199
6/17/2021 11:22,Main Pump Press,Vapor Press,-0.000395531
6/17/2021 11:22,Main Pump Press,Tank Temp,-0.028455138
6/17/2021 11:22,Main Pump Press,Tank Level,-0.004175761
6/17/2021 11:22,Line Pressure,Main Pump Press,-0.002525914
6/17/2021 11:22,Overspeed Press,Tank Temp,0.08752777
6/17/2021 11:22,Tank Temp,Vapor Press,-0.041049363
6/17/2021 11:22,Tank Level,Vapor Press,0.466451755
6/17/2021 11:22,Tank Level,Tank Temp,-0.027738424
6/17/2021 11:22,Filter DP,Line Pressure,-0.038120305
6/17/2021 11:22,Filter DP,Main Pump Press,0.043602468
6/17/2021 11:22,Filter DP,Overspeed Press,0.018398058
6/17/2021 11:22,Filter DP,Vapor Press,-0.194484267
6/17/2021 11:22,Filter DP,Tank Temp,-0.514189854
6/17/2021 11:22,Filter DP,Tank Level,-0.031828904
6/17/2021 11:22,Overspeed Press,Tank Level,0.011099166
6/20/2021 2:21,Main Pump Press,Tank Level,-0.01378206
6/20/2021 2:21,Main Pump Press,Tank Temp,-0.020812577
6/20/2021 2:21,Main Pump Press,Vapor Press,0.013248149
6/20/2021 2:21,Line Pressure,Tank Level,0.01721205
6/20/2021 2:21,Overspeed Press,Vapor Press,0.025151939
6/20/2021 2:21,Line Pressure,Vapor Press,-0.053524512
6/20/2021 2:21,Line Pressure,Overspeed Press,-0.003962788
6/20/2021 2:21,Line Pressure,Main Pump Press,-0.002755571
6/20/2021 2:21,Line Pressure,Tank Temp,0.066246923
6/20/2021 2:21,Overspeed Press,Tank Temp,0.11768262
6/20/2021 2:21,Main Pump Press,Overspeed Press,0.023811726
6/20/2021 2:21,Tank Temp,Vapor Press,-0.021033297
6/20/2021 2:21,Filter DP,Tank Temp,-0.675230646
6/20/2021 2:21,Filter DP,Vapor Press,-0.162211864
6/20/2021 2:21,Filter DP,Overspeed Press,0.026132645
6/20/2021 2:21,Filter DP,Main Pump Press,0.028907854
6/20/2021 2:21,Filter DP,Tank Level,-0.016054394
6/20/2021 2:21,Filter DP,Line Pressure,-0.040153173
6/20/2021 2:21,Tank Level,Tank Temp,0.035149501
6/20/2021 2:21,Tank Level,Vapor Press,0.440099997
6/20/2021 2:21,Overspeed Press,Tank Level,0.013920322
6/22/2021 9:02,Main Pump Press,Tank Level,-0.020984226
6/22/2021 9:02,Line Pressure,Main Pump Press,-0.002778726
6/22/2021 9:02,Line Pressure,Overspeed Press,-0.003910205
6/22/2021 9:02,Line Pressure,Vapor Press,-0.057410822
6/22/2021 9:02,Line Pressure,Tank Temp,0.059011436
6/22/2021 9:02,Line Pressure,Tank Level,0.021144637
6/22/2021 9:02,Main Pump Press,Overspeed Press,0.023623036
6/22/2021 9:02,Main Pump Press,Vapor Press,0.012322787
6/22/2021 9:02,Main Pump Press,Tank Temp,-0.008857742
6/22/2021 9:02,Overspeed Press,Vapor Press,0.023741819
6/22/2021 9:02,Overspeed Press,Tank Temp,0.109948676
6/22/2021 9:02,Overspeed Press,Tank Level,0.017055892
6/22/2021 9:02,Filter DP,Tank Temp,-0.675752427
6/22/2021 9:02,Filter DP,Vapor Press,-0.181216458
6/22/2021 9:02,Filter DP,Overspeed Press,0.035197878
6/22/2021 9:02,Filter DP,Main Pump Press,0.01385684
6/22/2021 9:02,Filter DP,Tank Level,-0.055194943
6/22/2021 9:02,Tank Level,Tank Temp,0.033902862
6/22/2021 9:02,Tank Level,Vapor Press,0.460142778
6/22/2021 9:02,Tank Temp,Vapor Press,-0.02620114
6/22/2021 9:02,Filter DP,Line Pressure,-0.028982275
6/24/2021 20:43,Main Pump Press,Tank Level,-0.022513088
6/24/2021 20:43,Line Pressure,Main Pump Press,-0.002786162
6/24/2021 20:43,Line Pressure,Overspeed Press,-0.003886427
6/24/2021 20:43,Line Pressure,Vapor Press,-0.066055056
6/24/2021 20:43,Line Pressure,Tank Temp,0.055984881
6/24/2021 20:43,Line Pressure,Tank Level,0.024577887
6/24/2021 20:43,Main Pump Press,Overspeed Press,0.023648708
6/24/2021 20:43,Main Pump Press,Vapor Press,0.010696795
6/24/2021 20:43,Main Pump Press,Tank Temp,-0.009473382
6/24/2021 20:43,Overspeed Press,Vapor Press,0.021712466
6/24/2021 20:43,Overspeed Press,Tank Temp,0.10668246
6/24/2021 20:43,Overspeed Press,Tank Level,0.01966133
6/24/2021 20:43,Filter DP,Tank Temp,-0.672274246
6/24/2021 20:43,Filter DP,Vapor Press,-0.094806511
6/24/2021 20:43,Filter DP,Overspeed Press,0.041295202
6/24/2021 20:43,Filter DP,Main Pump Press,0.010675087
6/24/2021 20:43,Filter DP,Tank Level,-0.081570559
6/24/2021 20:43,Tank Level,Tank Temp,0.058511143
6/24/2021 20:43,Tank Level,Vapor Press,0.476281674
6/24/2021 20:43,Tank Temp,Vapor Press,-0.0851504
6/24/2021 20:43,Filter DP,Line Pressure,-0.020269195
6/27/2021 9:16,Main Pump Press,Tank Level,-0.027058337
6/27/2021 9:16,Line Pressure,Main Pump Press,-0.00289509
6/27/2021 9:16,Line Pressure,Overspeed Press,-0.003393665
6/27/2021 9:16,Line Pressure,Vapor Press,-0.069521721
6/27/2021 9:16,Line Pressure,Tank Temp,0.054798752
6/27/2021 9:16,Line Pressure,Tank Level,0.008498774
6/27/2021 9:16,Main Pump Press,Overspeed Press,0.021220259
6/27/2021 9:16,Main Pump Press,Vapor Press,0.010233054
6/27/2021 9:16,Main Pump Press,Tank Temp,-0.010287849
6/27/2021 9:16,Overspeed Press,Vapor Press,0.018335314
6/27/2021 9:16,Overspeed Press,Tank Temp,0.108098974
6/27/2021 9:16,Overspeed Press,Tank Level,0.104233032
6/27/2021 9:16,Filter DP,Tank Temp,-0.668179989
6/27/2021 9:16,Filter DP,Vapor Press,-0.101382731
6/27/2021 9:16,Filter DP,Overspeed Press,0.050313264
6/27/2021 9:16,Filter DP,Main Pump Press,0.003298749
6/27/2021 9:16,Filter DP,Tank Level,0.035861611
6/27/2021 9:16,Tank Level,Tank Temp,0.047899085
6/27/2021 9:16,Tank Level,Vapor Press,0.053925169
6/27/2021 9:16,Tank Temp,Vapor Press,-0.099873901
6/27/2021 9:16,Filter DP,Line Pressure,-0.011153897
6/29/2021 20:25,Main Pump Press,Tank Level,-0.027621852
6/29/2021 20:25,Line Pressure,Main Pump Press,-0.003782825
6/29/2021 20:25,Line Pressure,Overspeed Press,-0.003341077
6/29/2021 20:25,Line Pressure,Vapor Press,-0.108618719
6/29/2021 20:25,Line Pressure,Tank Temp,0.052128654
6/29/2021 20:25,Line Pressure,Tank Level,0.008518257
6/29/2021 20:25,Main Pump Press,Overspeed Press,0.020378496
6/29/2021 20:25,Main Pump Press,Vapor Press,-0.013021396
6/29/2021 20:25,Main Pump Press,Tank Temp,-0.000451823
6/29/2021 20:25,Overspeed Press,Vapor Press,0.024997421
6/29/2021 20:25,Overspeed Press,Tank Temp,0.105800171
6/29/2021 20:25,Overspeed Press,Tank Level,0.104820651
6/29/2021 20:25,Filter DP,Tank Temp,-0.185054599
6/29/2021 20:25,Filter DP,Vapor Press,-0.092244838
6/29/2021 20:25,Filter DP,Overspeed Press,0.018292801
6/29/2021 20:25,Filter DP,Main Pump Press,0.013705457
6/29/2021 20:25,Filter DP,Tank Level,0.000660539
6/29/2021 20:25,Tank Level,Tank Temp,0.054050509
6/29/2021 20:25,Tank Level,Vapor Press,-0.035692576
6/29/2021 20:25,Tank Temp,Vapor Press,-0.109308022
6/29/2021 20:25,Filter DP,Line Pressure,-0.006858064
7/2/2021 11:23,Main Pump Press,Tank Level,-0.028469765
